short_ticker,trade_date,close_price,moving average,last_price
aflt,2017-12-18,142,145.12,
aflt,2017-12-19,141.35,143.89,
aflt,2017-12-20,138,142.85,
aflt,2017-12-21,138.8,142.19,
aflt,2017-12-22,138.8,141.77,
aflt,2017-12-25,138.85,141.23,
aflt,2017-12-26,139,140.83,
aflt,2017-12-27,138.5,140.41,
aflt,2017-12-28,139,140.03,
aflt,2017-12-29,138.45,139.66,
aflt,2018-01-03,140.4,139.68,
aflt,2018-01-04,148.9,140.53,
aflt,2018-01-05,147.3,140.93,
aflt,2018-01-09,150.5,141.42,
aflt,2018-01-10,149.3,141.94,
aflt,2018-01-11,148.3,142.44,
aflt,2018-01-12,145.6,142.98,
aflt,2018-01-15,146.6,143.54,
aflt,2018-01-16,140.75,143.67,
aflt,2018-01-17,138.45,143.65,
aflt,2018-01-18,137.2,143.52,
aflt,2018-01-19,138.7,143.53,
aflt,2018-01-22,138.6,143.5,
aflt,2018-01-23,138.3,143.49,
aflt,2018-01-24,138.05,143.32,
aflt,2018-01-25,137.1,142.48,
aflt,2018-01-26,134.2,141.55,
aflt,2018-01-29,137.6,140.62,
aflt,2018-01-30,133.2,139.47,
aflt,2018-01-31,133.3,138.4,
aflt,2018-02-01,135.35,137.67,
aflt,2018-02-02,133.5,136.74,
aflt,2018-02-05,138.4,136.57,
